extracted_feature, gender_anova_Fval, gender_anova_Pval, call-rece_anova_Fval, call-rece_anova_Pval, O_anova_Fval, O_anova_Pval, E_anova_Fval, E_anova_Pval, N_anova_Fval, N_anova_Pval, A_anova_Fval, A_anova_Pval, C_anova_Fval, C_anova_Pval, ConfC_anova_Fval, ConfC_anova_Pval, ConfA_anova_Fval, ConfA_anova_Pval, ConfO_anova_Fval, ConfO_anova_Pval, ConfD_anova_Fval, ConfD_anova_Pval, ConfI_anova_Fval, ConfI_anova_Pval
F0semitoneFrom27.5Hz_sma3nz_amean, 2399.64305051, 0.0**, 5.68596387747, 0.0171686001153*, 58.2493425065, 2.4608324332e-14**, 58.2493425065, 2.4608324332e-14**, 58.2493425065, 2.4608324332e-14**, 58.2493425065, 2.4608324332e-14**, 58.2493425065, 2.4608324332e-14**, 87.1384724492, 2.02143460743e-20**, 38.0432002925, 7.93762187754e-10**, 7.00870815776, 0.00815774836177**, 9.36753070068, 0.00222997669143**, 61.950118349, 5.02424987959e-15**
F0semitoneFrom27.5Hz_sma3nz_stddevNorm, 2.29215911435, 0.130143929743, 1.27824251721, 0.258324729887, 1.49083239863, 0.222108292646, 1.49083239863, 0.222108292646, 1.49083239863, 0.222108292646, 1.49083239863, 0.222108292646, 1.49083239863, 0.222108292646, 0.00593613610313, 0.938592301813, 1.06220354079, 0.302803845262, 2.53988968588, 0.111117544372, 28.0937025465, 1.24749383461e-07**, 1.82809540437, 0.176463935585
F0semitoneFrom27.5Hz_sma3nz_percentile20.0, 2287.35239592, 0.0**, 3.89688082428, 0.0484758464375*, 60.2625154382, 8.88560596412e-15**, 60.2625154382, 8.88560596412e-15**, 60.2625154382, 8.88560596412e-15**, 60.2625154382, 8.88560596412e-15**, 60.2625154382, 8.88560596412e-15**, 80.7868091697, 4.56658809581e-19**, 33.6676555058, 7.28570846335e-09**, 5.65648780082, 0.0174588938868*, 3.84174288436, 0.0500924474932, 63.3562092386, 2.49993152335e-15**
F0semitoneFrom27.5Hz_sma3nz_percentile50.0, 2441.466881, 0.0**, 4.57430146279, 0.0325428888778*, 57.397519112, 3.78758032474e-14**, 57.397519112, 3.78758032474e-14**, 57.397519112, 3.78758032474e-14**, 57.397519112, 3.78758032474e-14**, 57.397519112, 3.78758032474e-14**, 89.818540013, 5.44016153137e-21**, 38.0178784982, 8.03988356121e-10**, 6.89639746671, 0.00868488905955**, 8.85512179757, 0.00294815909827**, 57.557107016, 4.46516602107e-14**
F0semitoneFrom27.5Hz_sma3nz_percentile80.0, 1963.68778792, 4.94065645841e-324**, 5.40618002673, 0.0201380585523*, 48.2982561948, 3.82566868732e-12**, 48.2982561948, 3.82566868732e-12**, 48.2982561948, 3.82566868732e-12**, 48.2982561948, 3.82566868732e-12**, 48.2982561948, 3.82566868732e-12**, 78.7592777682, 1.23787754073e-18**, 39.3858351769, 4.02819856905e-10**, 7.11639297024, 0.00768305723957**, 14.0257387362, 0.000184027857275**, 53.0180466319, 4.29472304418e-13**
F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2, 1.35059214352, 0.245275545497, 0.975149961788, 0.323486080837, 0.594658754012, 0.440636493678, 0.594658754012, 0.440636493678, 0.594658754012, 0.440636493678, 0.594658754012, 0.440636493678, 0.594658754012, 0.440636493678, 0.730824897582, 0.392690460895, 2.87673704639, 0.0899812230273, 0.819397661336, 0.365435688878, 16.2781269859, 5.6183062746e-05**, 0.188719106473, 0.664018946271
F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope, 10.271955043, 0.00136614981014**, 0.281105133229, 0.596020623268, 0.000211923252505, 0.988385349963, 0.000211923252505, 0.988385349963, 0.000211923252505, 0.988385349963, 0.000211923252505, 0.988385349963, 0.000211923252505, 0.988385349963, 1.79221545978, 0.180767200974, 3.2582956015, 0.0711723690657, 0.768268533655, 0.38082984225, 8.92205994593, 0.00284237170676**, 2.04524541995, 0.152796044493
F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope, 1.20238971691, 0.272940655712, 1.01671070724, 0.313389286109, 2.98170599374, 0.0842329315134, 2.98170599374, 0.0842329315134, 2.98170599374, 0.0842329315134, 2.98170599374, 0.0842329315134, 2.98170599374, 0.0842329315134, 5.08660134684, 0.024189763115*, 6.38905846429, 0.011538209822*, 0.763905468269, 0.382185446617, 4.8271165915, 0.0280986488437*, 0.314979006777, 0.574686580086
F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope, 0.924696125395, 0.336329540814, 1.99545640727, 0.157884772028, 0.177155743087, 0.673835610037, 0.177155743087, 0.673835610037, 0.177155743087, 0.673835610037, 0.177155743087, 0.673835610037, 0.177155743087, 0.673835610037, 0.311272851776, 0.576945608425, 0.115909584931, 0.733539953271, 0.0281161387889, 0.866848410163, 5.80540253923, 0.0160423703194*, 0.551554207908, 0.457746818347
F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope, 0.019913304827, 0.887789824511, 0.0540463866056, 0.81618347321, 3.44703869886, 0.0633865788696, 3.44703869886, 0.0633865788696, 3.44703869886, 0.0633865788696, 3.44703869886, 0.0633865788696, 3.44703869886, 0.0633865788696, 0.0208552739551, 0.885184505936, 0.359854958776, 0.54863625838, 0.366272454618, 0.545093117469, 3.67383802117, 0.0553763729049, 1.76828964811, 0.183704255313
